image_urls,images,summary,title
http://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Aindrita_Ray_CCL_%28cropped%29.jpg/220px-Aindrita_Ray_CCL_%28cropped%29.jpg,,"Aindrita Ray is an Indian film actress, primarily appearing in Kannada films. She made her acting debut in 2007, starring in Meravanige and went on to appear in several commercially successful films, establishing herself as a leading contemporary actress of Kannada cinema. She is perhaps well known for her critically acclaimed performance as Devika, a mentally challenged girl, in Manasaare.",Aindrita Ray
http://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Aditi_Sharma.JPG/220px-Aditi_Sharma.JPG,,"Aditi Sharma is an Indian television and film actress known for her portrayal of Gangaa Shukla in &TV's Gangaa and Mauli in Colors TV's Silsila Badalte Rishton Ka.

",Aditi Sharma
No Images Found,,"Aishwariya is an Indian actress who has acted in Tamil, Malayalam, and Telugu movies along with several Malayalam television serials. She is the daughter of popular actress Lakshmi.",Aishwarya (actress)
http://upload.wikimedia.org/wikipedia/en/thumb/d/d5/Aarthi_Agarwal.jpg/220px-Aarthi_Agarwal.jpg,,"Aarthi Agarwal (March 5, 1984 – June 6, 2015) was an Indian-American actress who primarily worked in Telugu cinema, also known as Tollywood. She was the older sister of Aditi Agarwal, also an actress. As per Idlebrain.com source, Aarthi Agarwal was top heroine in the year of 2002.",Aarthi Agarwal
http://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Sangeeta_Bijlani_2.jpg/250px-Sangeeta_Bijlani_2.jpg,,"Aditi Govitrikar (born 21 May 1976) is an Indian model, actress and a doctor. From 1997 until 2004, Govitrikar remains the only Indian supermodel with the both medical doctor and psychologist qualification. She has been touted by Hindustan Times as ""Beauty with Brains"". She is a vegetarian and ardent Vipassana practitioner. She was a contestant on Bigg Boss in 2009.
She won the Gladrags Megamodel Contest in 1996 and the Gladrags Mrs. India in 2000, subsequently winning Mrs. World contest in 2001. Govitrikar remains the first and the only Indian woman to have won the Mrs. World title.
Govitrikar ventured into acting when she played the lead role in Thammudu (1999), a movie that was a runaway hit. She went on to act in many movies including Paheli (2005) India's official entry to the 79th Academy Awards and De Dana Dan (2009), that won an award at the International Indian Film Academy Award. She also played a leading role in several super hit music videos such as Kabhi to Nazar Milao by Adnan Sami and Asha Bhosle (1997) and Aaeena by Jagjit Singh (2000).
Govitrikar launched PETA in India and has also endorsed top tier international brands such as Coca-Cola, Chopard, Fendi and Harry Winston.",Aditi Govitrikar
No Images Found,,"Abhirami (pronunciation ) (born Divya Gopikumar) is an Indian actress and television host. She has acted in Malayalam, Tamil, Telugu and Kannada films. Her career, which started in 1995, was interrupted in 2004 when her family moved to the United States. She made a comeback in 2013.",Abhirami (actress)
http://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Sonalir.jpg/220px-Sonalir.jpg,,"Sonali Raut (born 23 December 1990) is an Indian film actress and model who appears in Hindi films. She has been a Kingfisher Calendar Girl in 2010, Raut was just 19 years old college student when she featured in the Kingfisher Calendar. Raut made her acting debut with romantic-thriller film The Xpose in 2014 opposite Himesh Reshammiya and Yo Yo Honey Singh in a lead role. She was a contestant in the reality television show Bigg Boss 8.",Sonali Raut
http://upload.wikimedia.org/wikipedia/commons/7/79/Sonali_Bendre_attends_the_63rd_Jio_Filmfare_Awards_2018_%2820%29_%28cropped%29.jpg,,Sonali Bendre (born 1 January 1975) is an Indian film actress who has primarily worked in Hindi films and has won a Filmfare Award.,Sonali Bendre
http://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Sumitra-devi-in-1956.jpg/220px-Sumitra-devi-in-1956.jpg,,"Sumitra Devi (listen ) (22 July 1923 - 28 August 1990) was an Indian actress who is recognized for her work in Hindi as well as Bengali cinema during the 1940s and 1950s. She is most remembered for her role in the 1952 Hindi film Mamta directed by Dada Gunjal. She was the recipient of BFJA Award for Best Actress for two times. She was one of the exquisite beauties of her time and has been regarded as the most beautiful woman of her time by veterans such as Pradeep Kumar and Uttam Kumar.Sumitra Devi was born of a rich Brahmin family in 1923 at Shiuri, in Birbhum, West Bengal. At her teenage, she was immensely influenced by the beauty and stature of the veteran actress Kanan Devi and aspired to be an actress. In 1943 she was summoned for an interview and look test in the office of New Theatres and was finally cast opposite K. L. Saigal in Hemchander Chander’s Meri Bahen (1944). During the making of this film she was offered to play the lead in Apurba Mitra’s Bengali film Sandhi (1944) which happened to be her debut film. The film achieved enormous success and won her the BFJA Award for Best Actress in 1945. In the late 1940s she established herself as a leading actress of Bollywood with roles in films such as Vasiyatnama (1945), Bhai Dooj (1947), Oonch Neech (1948) and Vijay Yatra (1948). She was adulated for her role as a single mother in Gunjal's Mamta (1952). Filmzack wrote, ""She manipulated all her magnificent characteristics to vivify her role; her calmness, her softness, pain and pang and all were infused into one."" She was further acclaimed for her role in films such as Deewana (1952), Ghungroo (1952), Mayurpankh (1954), Chor Bazaar (1954) and Jagte Raho (1956).She sustained her career in Bengali cinema also with films such as Abhijog (1947), Pather Dabi (1947), Pratibad (1948), Joyjatra (1948), Swami (1949), Devi Chowdhurani (1949), Samar (1950), Dasyu Mohan (1955). She has been idolized for her role as the beautiful alcoholic wife of a landlord in Kartik Chattopadhyay's cult classic Saheb Bibi Golam (1956) which  is an adaptation of Bimal Mitra's classic novel of the same name. Her portrayal of Bijali, a nautch girl with a bereaved heart in Haridas Bhattacharya’s National Award winning Bengali film Aandhare Alo (1957) acquired an overwhelmed critical response. She also garnered acclamation for her roles in Bengali films such as Ekdin Ratre (1956), Nilachaley Mahaprabhu (1957), Joutuk (1958) and Kinu Gowalar Gali (1964). In the late fifties, she was invited to the Asian Film Festival in China as a delegate from India.",Sumitra Devi (actress)
http://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Swaroop_Sampat.jpg/220px-Swaroop_Sampat.jpg,,Swaroop Sampat (born 3 November 1958) is an Indian actress who has acted in several Hindi language films such as Naram Garam and Nakhuda and is known for her performance in television serials like Yeh Jo Hai Zindagi. She won the Miss India contest in 1979 and represented India at Miss Universe 1979.,Swaroop Sampat
http://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Sonali_Kulkarni_on_Day_2_of_Lakme_Fashion_Week_2017.jpg/220px-Sonali_Kulkarni_on_Day_2_of_Lakme_Fashion_Week_2017.jpg,,"Sonali Kulkarni (born 3 November 1974) is an Indian actress. She has worked in Marathi, Gujarati, Kannada, Hindi, and Tamil films. She is known for her roles in Dr. Babasaheb Ambedkar, Doghi, Deool, Gulabjaam, Dil Chahta Hai, Singham and Taxi No 9211.",Sonali Kulkarni
http://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Swati_TeachAIDS_Launch_2010.jpg/220px-Swati_TeachAIDS_Launch_2010.jpg,,"Swathi Reddy (born 19 April 1987) is an Indian film actress and television presenter who predominantly works in Telugu Cinema along with Tamil and Malayalam films. Her nickname Colors Swathi  comes from her stint in the Telugu television show Colours, which was telecast on Maa TV. After playing supporting roles, she made her debut as a leading actress in the Tamil film Subramaniapuram (2008). Her role in the Telugu film Ashta Chamma earned her the Filmfare Award and Nandi Award for Best Actress.",Swathi Reddy
http://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Swastika_Mukherjee_-_Kolkata_2015-10-10_5831.JPG/220px-Swastika_Mukherjee_-_Kolkata_2015-10-10_5831.JPG,,"Swastika Mukherjee (born 13 December 1980) is an Indian actress and the daughter of Late Santu Mukhopadhyay.
Mukherjee made her screen debut with Devdasi, a Bengali TV series. She made her big screen debut with Hemanter Pakhi (2001). Her first leading role came with Mastan (2004). She made her Bollywood debut with Mumbai Cutting (2010).",Swastika Mukherjee
http://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Sushmita_Sen_Manish_M_B%27day_Bash.jpg/220px-Sushmita_Sen_Manish_M_B%27day_Bash.jpg,,Sushmita Sen (born 19 November 1975) is an Indian film actress and model who was crowned Femina Miss India in 1994 and Miss Universe 1994 contest at the age of 18. Sen is the first Indian woman to win the competition and has primarily worked in Hindi films.,Sushmita Sen
No Images Found,,"Sumithra is an Indian actress. She has appeared in Tamil, Malayalam, Kannada and Telugu language films. She acted as the lead heroine in films between 1974 and 1986. She later started being known for her roles as a mother since the 1990s.",Sumithra (actress)
http://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Sushama_Reddy.jpeg/220px-Sushama_Reddy.jpeg,,"Sushama Reddy is an Indian model, VJ, actress and producer.

",Sushama Reddy
http://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Swapna_and_Raman_Khanna.jpg/220px-Swapna_and_Raman_Khanna.jpg,,"Swapna Khanna is an actress of South Indian origin who acted in Telugu, Tamil, Malayalam and Bollywood films in the 1980s and early 1990s. She was named Swapna, formerly Manjari Dhody, by Anil Sharma.Swapna began her career with the Bharathi Raja-directed Kamal Haasan-starring Tik Tik Tik(1981) and thereafter acted in several Tamil, Telugu and Malayalam language movies. She also appeared occasionally in Bollywood films like Teri Meherbaaniyan, Dak Bangla, Hukumat, Izzatdar, Janam Se Pehle and others. She guest starred in the Aditya Pancholi-starrer Qatil (1988). She quit the film industry after her marriage in 1993 and is now actively involved with her husband, Raman Khanna in an event management company called Sangini Entertainment that organises and manages Bollywood and Indian classical dance events abroad. Some of their shows include Shaam-E-Rangeen and DreamGirls Of Bollywood, which have been performed worldwide. Along with this she also runs a resort called ""The Brook at Khanna's"", which is located in Karjat, Mumbai.",Swapna (actress)
http://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/India_film_clapperboard_%28variant%29.svg/29px-India_film_clapperboard_%28variant%29.svg.png,,"Zaheeda Hussain (born 9 October 1934), commonly known by her mononym Zaheeda, is an Indian film actress, who is best known for appearing in films such as Anokhi Raat (1968), Gambler (1971), and Prem Pujari (1970).  
Born in Mumbai, she is daughter of Akhtar Hussain, who was film producer and son of director Jaddanbai. Her aunt was Bollywood actress Nargis Dutt, and her uncle was character actor Anwar Hussain.
Zaheeda was originally offered the sister's role (later played by Zeenat Aman) in Hare Rama Hare Krishna by Dev Anand, but turned it down as she found it too bold of a role - the film turned to be a cult hit. After this, a majority of her later films flopped, and Zaheeda eventually retired the film industry. Zaheeda briefly returned to the silver screen in a DD1 serial Amrapali in 2002.",Zaheeda Hussain
No Images Found,,"Udhayathara (born Sijo Varghese on 16 March 1988) is an Indian film actress, who predominantly acts in Tamil and Malayalam cinema but also appears in Kannada and Telugu films.",Udhayathara
http://upload.wikimedia.org/wikipedia/en/thumb/9/99/Question_book-new.svg/50px-Question_book-new.svg.png,,"Udaya Chandrika was a Kannada cinema actress of the mid-1960s to the mid-1970s. She also appeared in Tamil, Malayalam and Telugu-language films.",Udaya Chandrika
http://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Udita_Goswami_-_1.jpg/290px-Udita_Goswami_-_1.jpg,,Udita Goswami (born 9 February) is an Indian actress who works in Hindi cinema.,Udita Goswami
http://upload.wikimedia.org/wikipedia/commons/9/97/Master_Vithal_and_Zubeida_in_Alam_Ara%2C_1931.jpg,,"Zubeida Begum Dhanrajgir (1911–1988) was an Indian film actress. She acted in the first Indian talkie movie Alam Ara (1931). Her credits include early hits Devdas (1937), and Sagar Movietone's first talkie, Meri Jaan.",Zubeida
http://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Zeenat_Aman_at_the_Society_Achievers_Awards_2018_%28cropped%29.jpg/220px-Zeenat_Aman_at_the_Society_Achievers_Awards_2018_%28cropped%29.jpg,,"Zeenat Khan (born 19 November 1951), better known as Zeenat Aman, is an Indian actress and model, who is best known for her work in Bollywood films, and is widely considered to be a highly influential actress in Indian cinema. She was one of the highest paid actresses throughout the 1970s and early 1980s, and has received a wide variety of awards throughout her film career. Before acting, Aman began her career as a short-lived journalist for Femina magazine. She also began to take up modelling, and at the age of 19 went on to participate in beauty pageants, winning both the Femina Miss India pageant and the Miss Asia Pacific International pageant in 1970. Continuing in fashion, she had also appeared in many magazine and magazine covers throughout the 1970s and 1980s. 
Aman began acting in 1970, and her early works included the films The Evil Within (1970) and Hulchul (1971). She made her official film debut with the film Hare Rama Hare Krishna (1971) for which she won a Filmfare Best Supporting Actress Award for her performance. Aman has since starred in over 80 films, many of which that have been deemed classics, and throughout her career has won various and been nominated for various awards, which include two Filmfare Best Actress Award nominations for her roles in Satyam Shivam Sundaram (1978) and Insaf Ka Tarazu (1980), and has also won various lifetime achievement awards, such as the Zee Cine Award for Lifetime Achievement, the Society Achievers Award, and two contribution awards from the IIFA Awards. She has been noted for being one of the few to play more unconventional roles in Bollywood, breaking the traditional taboo and revolutionising the Bollywood industry. 

",Zeenat Aman
http://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/YogeetaBali.jpg/220px-YogeetaBali.jpg,,Yogeeta Bali Chakraborty (born 13 August 1952) is a former Indian Hindi film actress. She was active in the late 1960s and through the 1970s.,Yogeeta Bali
No Images Found,,"Vinaya Prasad (also credited as Vinaya Prakash), born as Vinaya Bhat, is a popular film and television actress in South India who has primarily featured in Kannada and Malayalam films and TV series besides acting in Tamil and Telugu language films. She has won the State Best Actress Award for her performances in Aathanka (1993) and Bannada Hejje (2001). The senior actress in her career has shared screen space with Chiranjeevi, Vishnuvardhan, Rajinikanth, Mohanlal, Ambareesh, Venkatesh, Ananth Nag, Akkineni Nagarjuna, V. Ravichandran, Shivrajkumar, Mahesh Babu, N. T. Rama Rao Jr. and others.",Vinaya Prasad
http://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Zoya_Khan_Actress_Picture.jpg/220px-Zoya_Khan_Actress_Picture.jpg,,"Zoya Khan (17 April 1992) is an Indian actress, anchor and host. She began her career as an anchor and print model. She has done numerous commercials mostly for the print media and has also walked the ramp. She gained attention in a Delhi beauty pageant, where she won titles of Miss Beautiful Smile & smooth skin. Zoya worked as an accounts professional and also pursued a career in modelling before becoming an actress.After a short stint with modelling, Zoya made her breakthrough with a short film titled ""Machhar-Daani"", for which she won best actress award for her outstanding performance, among 216 films screened from over 46 nations, in the Kolkata International Short Films Festival 2013. Zoya made her acting debut in South Indian cinema with a 2015 Telugu feature film A Shyam Gopal Varma Film, in a lead role, directed by C.S.Reddy. She also had a role in Shimla Mirchi, directed by Ramesh Sippy.",Zoya Khan
http://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Yami_Gautam_grace_the_ELLE_India_Graduates_2018_event_%2801%29_%28cropped%29.jpg/220px-Yami_Gautam_grace_the_ELLE_India_Graduates_2018_event_%2801%29_%28cropped%29.jpg,,"Yami Gautam (born 28 November 1988) is an Indian actress who predominantly appears in Hindi films. Gautam came to prominence after starring in a series of Fair & Lovely commercials. She later starred in television shows such as Chand Ke Paar Chalo (2008-2009) and Yeh Pyar Na Hoga Kam (2009-2010). Following this, she appeared in several South Indian films. 
Gautam made her Hindi film debut in 2012 with the comedy Vicky Donor, which was a critical and commercial success. For her performance, she received praise as well as nomination for Filmfare Award for Best Female Debut. She went on to star as a young wife in the crime film Badlapur (2015), and a blind woman in the thriller Kaabil (2017). In 2019, she starred as an intelligence officer in the war film Uri: The Surgical Strike (2019), one of the highest-grossing Indian films, and garnered critical acclaim for playing a TikTok star in the satire Bala (2019).",Yami Gautam
http://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Yana_Gupta.JPG/220px-Yana_Gupta.JPG,,"Yana Gupta (born Jana Synková; 23 April 1979) is a Czech model, actress and wife of Ing. Petr Brhel, author who worked in Mumbai.",Yana Gupta
No Images Found,,"Yagna Shetty is an Indian actress known for her work in Kannada cinema. She made her debut in the 2007 film Ondu Preethiya Kathe, following which she appeared in Eddelu Manjunatha, a performance that won her a Filmfare Special Award. She got noticed for her performances in Sugreeva (2010) and Allide Nammane Ille Bande Summane (2011). Known for portraying deglamorous and serious roles, she went on to appear in other critical and commercial successes such as Love Guru (2009), Kalla Malla Sulla (2011) and Ulidavaru Kandanthe (2014). She made her television debut in 2016 with Vaarasdaara.",Yagna Shetty
http://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Waheeda_Rehman_%28cropped%29.jpg/220px-Waheeda_Rehman_%28cropped%29.jpg,,"Waheeda Rehman (born 3 February 1938) is an Indian actress and dancer who has appeared in mainly Hindi films, as well as Telugu, Tamil, Bengali and Malayalam films. She is noted for her contributions to different genres of films and different roles from the 1950s, 1960s, and early 1970s. Her accolades consist of a National Film Award, two Filmfare Awards out of eight nominations, the Filmfare Lifetime Achievement Award and the Centenary Award for Indian Film Personality. Throughout her career, she has been frequently cited as one of Bollywood's ""most beautiful"" actresses by various media outlets, a title for which she has received substantial publicity.Although Rehman achieved her film debut in the Telugu film Rojulu Marayi (1955), she received recognition for her work in Hindi films directed by Guru Dutt, which included Pyaasa (1957), Kaagaz Ke Phool (1959), Chaudhvin Ka Chand (1960) and Sahib Bibi Aur Ghulam (1962), for which she received her first Filmfare nomination. She continued acting in the mid-1960s, starring in successful movies and establishing herself as one of the leading ladies in classic Indian cinema. Rehman's career reached its highest point when she won the Filmfare Award for Best Actress twice, for the Hindi blockbuster Guide (1965) and Neel Kamal (1968) and received nominations for Ram Aur Shyam (1967) and Khamoshi (1970).
Despite winning the National Film Award for Best Actress for portraying a clanswoman in love with a separate clansman in the commercial failure Reshma Aur Shera (1971), her career came to a standstill when she was reduced to motherly, supporting roles in films. Rehmen's notable performances in the 1970s are Kabhi Kabhie (1976), Namkeen (1982) and Lamhe (1991), and the latter film became her last film credit in the next 12 years until 2002, where she returned to the film industry.
In 2011, the Government of India honoured Rehman with the Padma Bhushan, the third-highest civilian award of the country. Apart from acting, Rehman is a philanthropist. She is an advocate for education and is an ambassador for Rang De, an organization combating poverty in India.",Waheeda Rehman
http://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Vyjayanthimala.jpg/220px-Vyjayanthimala.jpg,,"Vyjayanthimala (born 13 August 1936)  is an Indian film actress, Bharathanatyam dancer, Carnatic singer, dance choreographer and parliamentarian. She was the highest paid actress of her time. Regarded as the ""first female superstar"" of Indian cinema, She made her debut in the Tamil language film Vaazhkai in 1949 and in the Telugu film Jeevitham in 1950. She later became one of the most prominent actresses of South Indian cinema and in the golden era of Bollywood and was known as one of the iconic leading actresses of all time.Vyjayanthimala was one of the biggest Bollywood stars with a career lasting almost two decades. She was the first star to completely change the standard and style of dancing in Indian cinema. It was because of her that Indian film actresses later on were expected to know classical dance. She was the first South Indian actress to become a Bollywood star and ""paved a way"" for other south Indian actresses to foray into Bollywood. Vyjayanthimala is an accomplished dancer and was one of those who introduced semi-classical dance to Bollywood. Her subsequent dance numbers in her films had earned her the title of ""twinkle toes"".
Vyjayanthimala made her screen debut at the age of 13 through the Tamil film Vaazhkai (1949) and Telugu film Jeevitham in 1950 and acted in Bollywood movies Bahar and Ladki. Following the success of Nagin, Vyjayanthimala established herself as one of Bollywood's leading actresses while making inroads in successful Tamil and Telugu films. After successfully establishing herself as a commercial actress, Vyjayanthimala appeared in Devdas, playing Chandramukhi, the hooker with a heart of gold, in 1955. In her first dramatic role, she received her first Filmfare Award for Best Supporting Actress at the 4th Filmfare Awards, where she refused to accept the award citing that hers was not a supporting role, being the first person to refuse a Filmfare Award. Following that, Vyjayanthimala appeared in series of blockbuster films such as New Delhi, Naya Daur and Aasha. She reached the pinnacle of her success in 1958, when two of her films — Sadhna and Madhumati — became huge critical and commercial hits. She was nominated for two Filmfare Award for Best Actress Award for Sadhna and Madhumati and won the award for the former.
At this point, Vyjayanthimala made comeback to Tamil films, where she tasted commercial success with Vanjikottai Vaaliban, Irumbu Thirai, Baghdad Thirudan and Then Nilavu. In 1961, the release of Dilip Kumar's Ganga Jumna saw her playing a rustic village belle, Dhanno, who speaks the Awadhi dialect. Critics applauded her performance, while some labeled it her best till date. She won her second Filmfare Award for Best Actress for her role in Ganga Jumna. Beginning from 1962, most of her films performed either averagely or poorly at the box office. However, in 1964, with the success of Sangam, her career hits the peak again. She reinvented herself playing a modern Indian girl appearing in revealing costumes and a one-piece swimsuit. She went to receive her third Best Actress Award at the 12th Filmfare Awards for her role as Radha in Sangam. She later achieved critical acclaim for her performance in the historical drama Amrapali, which was based on the life of Nagarvadhu, royal courtesan of Vaishali, Amrapali. The film received universal acclaim, but it was a huge box office failure, which left Vyjayanthimala, who had huge expectations of the film, disenchanted to the point where she decided to quit films.In the end of her career Vyjayanthimala was mostly seen in commercially successful films such as Suraj, Jewel Thief and Prince with a few critically acclaimed films such as Hatey Bazarey and Sunghursh. Most of them were released after Vyjayanthimala had left the film industry.
Besides films, Vyjayanthimala's main concentration was in Bharata Natyam, a form of Indian classical dance. After quitting movies, Vyjayanthimala continued with her dance career. In addition, she was conferred with the Sangeet Natak Akademi Award, the highest Indian recognition given to practising artists. The award was presented to Vyjayanthimala in 1982 for her contribution in Bharata Natyam field. Moreover, Vyjayanthimala is an avid golfer and is one of the oldest in Chennai. She has also served as chairperson of 48th National Film Awards.",Vyjayanthimala
No Images Found,,"Vijayalakshmi is an Indian actress who has predominantly appeared in Kannada films, also Tamil and Malayalam films. She won Filmfare Award for Best Actress – Kannada for her performance in her debut Kannada film Nagamandala as Rani.",Vijayalakshmi (Kannada actress)
http://upload.wikimedia.org/wikipedia/commons/b/b7/VijaytaPandit.jpg,,"Vijayta Pandit is an Indian film actress and playback singer, most famous for her first film Love Story (1981).",Vijayta Pandit
http://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/VidyaSinha.jpg/220px-VidyaSinha.jpg,,"Vidya Sinha (15 November 1947 – 15 August 2019) was an Indian film actress who has acted in Hindi films, most known for Rajnigandha (1974), Chhoti Si Baat (1975) and Pati Patni Aur Woh (1978). She started her career as a model and won the Miss Bombay title. Her first movie was Raja Kaka (1974) opposite Kiran Kumar. However, fame came to her through the low-budget break-away hit Rajnigandha (1974), directed by her mentor Basu Chatterjee. She acted in several films after which she took a hiatus. Returning to acting in the later part of her life, she acted in several TV serials and the Salman Khan movie Bodyguard (2011).",Vidya Sinha
http://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Vimala_Raman.jpg/220px-Vimala_Raman.jpg,,"Vimala Raman is an Australian actress and model who has worked in all South Indian film industries, and predominantly appears in Telugu and Malayalam films. Born in Australia, she is a Kannadiga from Bangalore and made her debut in 2005 with the Tamil film Poi. An established Bharatanatyam dancer and a graduate in B.Sc Information Systems from the University of New South Wales, Sydney, Raman had also won the titles of ""Miss India Australia"" in 2004 and ""Miss India Worldwide - Beautiful Face"" in 2005.",Vimala Raman
