image_urls,images,summary,title
http://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Arjun_mathur.jpg/220px-Arjun_mathur.jpg,"[{'url': 'http://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Arjun_mathur.jpg/220px-Arjun_mathur.jpg', 'path': 'full/180a14ccb2d87915e10461c376626791c9d68688.jpg', 'checksum': '41e33db255471524c9d9bbf1ff8b1747'}]","Arjun Mathur (born 18 October 1981) is an Indian film actor working predominantly in Bollywood and in independent films. He was also seen in the British drama series, Indian Summers. He plays a lead character in a TV series, Made in Heaven.",Arjun Mathur
http://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Arjun_at_the_%E2%80%98Kolaigaran%E2%80%99_Press_Meet.jpg/220px-Arjun_at_the_%E2%80%98Kolaigaran%E2%80%99_Press_Meet.jpg,"[{'url': 'http://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Arjun_at_the_%E2%80%98Kolaigaran%E2%80%99_Press_Meet.jpg/220px-Arjun_at_the_%E2%80%98Kolaigaran%E2%80%99_Press_Meet.jpg', 'path': 'full/59930c3d3db133a070b37a4059e1983ea6424088.jpg', 'checksum': 'f010e97b9c0cd418181b4202721be689'}]","Srinivasa Sarja (born 15 August 1964), known professionally Arjun, is an Indian actor, producer and director. Referred to by the media and his fans as ""Action King"" for his roles in action films, he works predominantly in Tamil, Kannada and Telugu language films, while also performing in a few Malayalam and Hindi films. As of 2017, Arjun had acted in more than 150 movies. Until his 150th film, he has mostly performed in lead roles and is one of few South Indian actors to attract fan following from multiple states of India. He has directed 11 films and also produced and distributed a number of films..
In 1993, he starred in S. Shankar's blockbuster Gentleman which opened to positive reviews, while Arjun went on to win the Tamil Nadu State Film Award for Best Actor. During this time, he starred in hits such as Jai Hind (1994), Karnaa (1995), and the action thriller film Kurudhipunal (1995), for which Arjun won acclaim for his role while the film became India's official entry for the 68th Academy Awards in the Best Foreign Language Film category.In 1999, he starred in the political action-thriller Mudhalvan (1999). Portraying an ambitious TV journalist who receives the opportunity to become the Chief Minister of Tamil Nadu for a day, Arjun offered bulk dates for filming the project to Shankar. The film subsequently won positive reviews with Arjun described as having ""acquitted himself with aplomb in the challenging role"". 
Arjun received the Tamil Nadu State Film Award for Best Actor for his role as well as numerous other nominations. Arjun then briefly experimented in softer roles with Kannodu Kanbathellam (1999) and as an energetic civil service officer in Vaanavil (2000).
He was then featured in Vasanth's romantic drama film Rhythm, where he played a photographer, who eventually falls in love with a widow. Featuring a popular soundtrack and opening to positive reviews, Rhythm also became a commercial success. He carried on with a lighter theme in his next directorial venture, the love story Vedham (2001), while he ventured into Telugu cinema again by appearing in Raja's Hanuman Junction and the Kannada devotional film Sri Manjunatha (2001). In 2012, he appeared in the Kannada film Prasad screened at the Berlin Film Festival. Arjun won the Karnataka State Film Award for Best Actor for his work in the film. Jaihind 2 in Tamil and Telugu, Abhimanyu in Kannada is a 2014 Indian multilingual action-masala film produced and directed by Arjun. This film won the Karnataka State Film Award for Second Best Film.",Arjun Sarja
http://upload.wikimedia.org/wikipedia/commons/thumb/5/51/IBM_logo.svg/120px-IBM_logo.svg.png,"[{'url': 'http://upload.wikimedia.org/wikipedia/commons/thumb/5/51/IBM_logo.svg/120px-IBM_logo.svg.png', 'path': 'full/11861bba1c269a08bd842fe4ec85b70e879b4b51.jpg', 'checksum': '7996dc9d9ef830342d87f114c217cd49'}]","Arvind Krishna (born 1962) is an Indian American business executive. He is the chief executive officer (CEO) of IBM. Krishna began his career at IBM as an engineer, was promoted to senior vice president in 2015, and was promoted to CEO in 2020. He led IBM's 2018 acquisition of Red Hat for $34 billion, which is the largest software company acquisition in history. On his first day as CEO, Krishna wrote to IBM staff, ""I believe we can make IBM the most trusted technology partner of the 21st century...Character is of the utmost importance.""",Arvind Krishna
http://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Apurva_Agnihotri.JPG/220px-Apurva_Agnihotri.JPG,"[{'url': 'http://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Apurva_Agnihotri.JPG/220px-Apurva_Agnihotri.JPG', 'path': 'full/4c2e07570755e5ca629032e15b705f3382e86234.jpg', 'checksum': '51a368c7fa8af37a5db1840d60256339'}]","Apurva Agnihotri (born 2 December 1972) is an Indian actor known for his role as Rajiv in the film Pardes (1997), and Armaan Suri in the television show Jassi Jaissi Koi Nahin.",Apurva Agnihotri
http://upload.wikimedia.org/wikipedia/commons/0/0f/Arjun_Rampal_2004.jpg,"[{'url': 'http://upload.wikimedia.org/wikipedia/commons/0/0f/Arjun_Rampal_2004.jpg', 'path': 'full/ad9b98b6095091363eea35ddb2631000a583297d.jpg', 'checksum': '1ea66d07a5b0d6f0c26383507437f586'}]","Arjun Rampal  (born 26 November 1972) is an Indian film actor, producer, screenwriter, model, entrepreneur, and television personality. He made his acting debut in Rajiv Rai's romance Pyaar Ishq Aur Mohabbat (2001). He has received several awards including the National Film Award for Best Supporting Actor and the Filmfare Award for Best Supporting Actor for his performance in Rock On!!.He has enacted lead roles in romances Deewaanapan (2001), Dil Hai Tumhaara (2002), Dil Ka Rishta (2003), Vaada (2005) and I See You (2006), action films Asambhav (2004) and D-Day (2013), thrillers Yakeen (2005) and Roy (2015), socio-political Chakravyuh (2012), crime drama Inkaar (2013) and biopic Daddy (2017). The year 2002 marked a turning point for Rampal when he was cast in Aankhen, proving to be his first commercial success. His other commercially successful films include, Dil Hai Tumhaara (2002), Don (2006), Om Shanti Om (2007), Rock On!! (2008), Housefull (2010), Raajneeti (2010), and Ra.One (2011).
Rampal became a film producer with I See You (2006) under his banner, Chasing Ganesha Films, and produced the biopic Daddy (2017), for which he also wrote the screenplay.",Arjun Rampal
http://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/India_film_clapperboard_%28variant%29.svg/30px-India_film_clapperboard_%28variant%29.svg.png,"[{'url': 'http://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/India_film_clapperboard_%28variant%29.svg/30px-India_film_clapperboard_%28variant%29.svg.png', 'path': 'full/9791391d5ba76b5ca60dad452d67f9ddef1b33db.jpg', 'checksum': '495840ff54ab70605e8484a7131a03d2'}]","Aravind Akash is an Indian actor and dancer who predominantly works in the South Indian film industry. He rose to fame through 2002 Malayalam film Nandanam portraying the role of Lord Krishna. He has also been a judge for a few TV shows in Malayalam and Tamil.

",Aravind Akash
http://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Maria-Goretti-Arshad-Warsi-Family.jpg/220px-Maria-Goretti-Arshad-Warsi-Family.jpg,"[{'url': 'http://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Maria-Goretti-Arshad-Warsi-Family.jpg/220px-Maria-Goretti-Arshad-Warsi-Family.jpg', 'path': 'full/8a3ac98cb4a823315d50039fd62906113ccb3f93.jpg', 'checksum': '78722ed950cae99943a50cb3cb95d182'}]","Arshad Warsi (born 19 April 1968) is an Indian film actor, producer, television personality and playback singer who appears in Bollywood films. He is the recipient of several awards including a Filmfare Award from five nominations and is noted for acting in varied film genres.
Before making his acting debut, Warsi associated with English theatre group in Mumbai, served as an assistant director to Mahesh Bhatt in Kaash (1987) and also choreographed a song in Roop Ki Rani Choron Ka Raja (1993). Warsi made his acting debut in 1996 with Tere Mere Sapne, which was a box office success. His portrayal of Circuit in the comedy film Munna Bhai M.B.B.S. (2003), and its sequel Lage Raho Munna Bhai (2006) for which he won the Filmfare Award for Best Performance in a Comic Role marked a turning point in his career. He featured in several commercially successful films including Hogi Pyaar Ki Jeet (1999), Hulchul (2004), Maine Pyaar Kyun Kiya? (2005), Salaam Namaste (2005), Golmaal: Fun Unlimited (2006), Dhamaal (2007), Krazzy 4 (2008), Golmaal Returns (2008), Ishqiya (2010), Golmaal 3 (2010), F.A.L.T.U (2011), Double Dhamaal (2011), Jolly LLB (2013), Golmaal Again (2017) and Total Dhamaal (2019), and received critical recognition for his work in films including Sehar (2005), Kabul Express (2006), Dedh Ishqiya (2014) and Guddu Rangeela (2015). He is widely regarded by many as one of the most under-rated actors in the Hindi film industry.In addition to acting in films, Warsi has hosted the dance show Razzmatazz in 2001, Sabse Favourite Kaun in 2004 and the first season of the reality television show Bigg Boss for which he was awarded the Indian Television Academy Award for Best Anchor – Game/Quiz Show. He starred opposite Karisma Kapoor in the TV serial Karishma – The Miracles of Destiny (2003) and featured as a judge for Zara Nachke Dikha in 2010. Warsi is married to Maria Goretti since 1999 with whom he has two children.",Arshad Warsi
http://upload.wikimedia.org/wikipedia/en/thumb/b/b7/Arun-Sarnaik-pic.jpg/185px-Arun-Sarnaik-pic.jpg,"[{'url': 'http://upload.wikimedia.org/wikipedia/en/thumb/b/b7/Arun-Sarnaik-pic.jpg/185px-Arun-Sarnaik-pic.jpg', 'path': 'full/e25ff08ee63f435d168b74fc695ce1c7815d1960.jpg', 'checksum': '2844fd07af9a87499bdc28fe67d2a78f'}]","Arun Shankarrao Sarnaik (4 October 1935 – 21 June 1984) was an actor and singer from Kolhapur, Maharashtra, India. He was the son of the famous singer ""Maharashtrakokil"" Pt. Shankarao Sarnaik and brother of famous classical singer ""Pandit Nivruttibua Sarnaik"" from Jaipur Atrauli Gharana (4 July 1912 – 16 February 1994).",Arun Sarnaik
http://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Cast_%26_crew_of_%27Jism_-_2%27_promote_their_film_at_India_Gate_in_Delhi.jpg/240px-Cast_%26_crew_of_%27Jism_-_2%27_promote_their_film_at_India_Gate_in_Delhi.jpg,"[{'url': 'http://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Cast_%26_crew_of_%27Jism_-_2%27_promote_their_film_at_India_Gate_in_Delhi.jpg/240px-Cast_%26_crew_of_%27Jism_-_2%27_promote_their_film_at_India_Gate_in_Delhi.jpg', 'path': 'full/ea8557ce2a57f8cc384b93dfd33e19d9dfce60da.jpg', 'checksum': '60304838d89166f57934e13cf9b518e0'}]","Arunoday Singh (born 17 February 1983) is an Indian film actor. His debut movie was Sikandar (2009). Singh has appeared in Sudhir Mishra's Yeh Saali Zindagi (2011), Pooja Bhatt's Jism 2 (2012), David Dhawan's Main Tera Hero (2014), and Ashutosh Gowariker's Mohenjo Daro (2016). He was also the protagonist in the film Buddha in a Traffic Jam (2016), by Vivek Agnihotri, dealing with the issue of naxalism. He also starred as a supporting actor in the 2018 Abhinay Deo film Blackmail.",Arunoday Singh
http://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Arif_Zakaria2.jpg/220px-Arif_Zakaria2.jpg,"[{'url': 'http://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Arif_Zakaria2.jpg/220px-Arif_Zakaria2.jpg', 'path': 'full/f68a709ee8663dc388927e7d8f81cc8f9ee72c61.jpg', 'checksum': '85a33e6b2731eae38070c08502f4af5f'}]","Arif Zakaria is an Indian actor. He has had many roles, beginning with his debut film Darmiyaan (1997), 1947 Earth (1998), Dance Like a man (2004) and other roles, even biographical projects such as Mardana in the controversial Nanak Shah Fakir.Zakaria began acting in theatre while in college and later moved on to television and films. He has acted in numerous television serials in the last decade including Chunauti, Karambhoomi, Mrityudand, Dhund, Aarzoo, Campus, Kaali - Ek Agnipariksha, etc. He has acted in diverse roles in films like Darmiyaan, Hero, Asambhav and Dance Like a Man (English). He has also travelled the globe since 2005 with the Australian musical show Merchants of Bollywood, performing major roles in the production across Europe, China, France, Poland, Hong Kong, Singapore and Australia (the last season in Sydney in 2010).He portrayed Rustom Sethna in Deepa Mehta's Earth/1947 and Major Dhillon in Shyam Benegal's Netaji Subhas Chandra Bose: The Forgotten Hero. He also appeared in Home Delivery: Aapko... Ghar Tak, Hazaaron Khwaishein Aisi, Deewaar and the Shah Rukh Khan film My Name is Khan.In 2011, he played the ghost that haunts the female protagonist in Vikram Bhatt's Haunted and was appreciated for the ghastly portrayal of a piano teacher falling in love with his young student who gets murdered while making advances towards her and rapes her as a ghost, which forces her to commit suicide in the movie. He played the role of a police officer in  Jism 2, starring Sunny Leone. He also appeared in Krrish 3 as  Dr. Varun Shetty and in the film Lootera. Other releases of his are Dee Saturday Night, Darr At The Mall, Blue Mountain (all 2014) and Nanak Shah Fakir and Ishq Forever (both 2015). He is also acting in the play Gardish Mein Taare, directed by Saif Hyder Hasan, which is based on the life of Guru Dutt. In 2015 he Produced a children's film ""Pinti Ka Sabun"" for the Children's Film Society of India; (CFSI) this film is directed by Pramod Pathak. In 2017 he was seen in Vikram Bhatt's web series Spotlight - WebSeries as famous actor/director/producer Dev Bannerjee. Featured in the short film Aamad - written and directed by Neeraj Udhwani for the Terribly Tiny Tales web portal. He is presently shooting for Raazi, directed by Meghna Gulzar, along with Alia Bhatt and Vicky Kaushal and is also shooting for the film Ahaan, directed by first-time director Nikhil Pherwani; a tender story of a young man suffering from Down syndrome. He is slated to shoot for an English film Swords and Sceptres, a re-telling of the story of the Rani of Jhansi. Plays the role of Gaus Khan. Shooting commences from October 2017 in Jaipur.",Arif Zakaria
http://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Anurag_kashyap.jpg/220px-Anurag_kashyap.jpg,"[{'url': 'http://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Anurag_kashyap.jpg/220px-Anurag_kashyap.jpg', 'path': 'full/6e5138b34a4c968554bfe9d3749e2f12cb4dea91.jpg', 'checksum': '41b4c7e8fd1b91ca172e1866c7761c58'}]","Anurag Kashyap (born 10 September 1972) is an Indian film director, writer, editor, producer, actor known for his works in Hindi cinema. He is the recipient of several accolades, including four Filmfare Awards. For his contributions to film, the Government of France awarded him the Ordre des Arts et des Lettres (Knight of the Order of Arts and letters) in 2013.
After writing a television serial, Kashyap got his major break as a co-writer in Ram Gopal Varma's crime drama Satya (1998), and made his directorial debut with Paanch, which never had a theatrical release due to censorship issues. He then went on to direct Black Friday (2007), a film based on the namesake book by Hussain Zaidi about the 1993 Bombay bombings. Its release was held up for two years by the Central Board of Film Certification because of the pending verdict of the case at that time, but was released in 2007 to widespread critical appreciation. Kashyap's followup, No Smoking (2007) met with negative reviews and performed poorly at the box-office. His next venture Dev.D (2009), a modern adaptation of Devdas was a critical and commercial success; followed by the political drama Gulaal (2009), and the thriller That Girl in Yellow Boots (2011).
Kashyap's prominence increased with the two-part crime drama, Gangs of Wasseypur (2012). Kashyap subsequently co-produced the critically acclaimed drama The Lunchbox, and the biographical drama Shahid (both 2013), the former earned him a BAFTA Award for Best Film Not in the English Language nomination. His next films were the anthology Bombay Talkies (2013), and the drama Ugly (2014). In 2016, Kashyap directed Raman Raghav 2.0, a film based on the serial killer Raman Raghav. His next film was the sports drama Mukkabaaz, which was released in 2018. The same year, he co-directed India's first Netflix Original series, the crime thriller Sacred Games, based on Vikram Chandra's novel of the same name and the romantic drama Manmarziyaan. He was the co-founder of two film production companies: Anurag Kashyap Films and Phantom Films.",Anurag Kashyap
http://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Anupam_Kher_and_Kirron_Kher.jpg/220px-Anupam_Kher_and_Kirron_Kher.jpg,"[{'url': 'http://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Anupam_Kher_and_Kirron_Kher.jpg/220px-Anupam_Kher_and_Kirron_Kher.jpg', 'path': 'full/c17d87a338b48250ab20948d91b4d392b17667ca.jpg', 'checksum': '655b680ae84bfbe4324f9104afb3b295'}]","Anupam Kher (born 7 March 1955) is an Indian actor and the former Chairman of Film and Television Institute of India. He is the recipient of two National Film Awards and eight Filmfare Awards. He has appeared in over 500 films in several languages and many plays. He won the Filmfare Award for Best Actor for his performance in Saaransh (1984). He holds the record for winning the Filmfare Award for Best Comedian five times in total for: Ram Lakhan (1989), Lamhe (1991), Khel (1992), Darr (1993) and Dilwale Dulhaniya Le Jayenge (1995). He won the National Film Award for Special Mention twice for his performances in Daddy (1989) and Maine Gandhi Ko Nahin Mara (2005). For his performance in the film Vijay (1988), he won the Filmfare Award for Best Supporting Actor. His biography Lessons Life Tought Me Unknowingly published on 5 August 2019 by Penguin Random House.
Besides working in Hindi films, he has also appeared in international films such as the Golden Globe nominated Bend It Like Beckham (2002), Ang Lee's Golden Lion–winning Lust, Caution (2007), and David O. Russell's Oscar-winning Silver Linings Playbook (2012). He received a BAFTA nomination for his supporting role in the British television sitcom The Boy with the Topknot (2018).He has held the post of chairman of the Central Board of Film Certification and the National School of Drama in India. The Government of India honoured him with the Padma Shri in 2004 and the Padma Bhushan in 2016 for his contribution in the field of cinema and arts.
Anupam Kher was appointed FTII chairman in October 2017, however his appointment was cited as problematic due to his pro-BJP stance and prolonged absences. On 31 October 2018, he resigned as the chairman of the FTII, citing his work commitments for the American TV show New Amsterdam.

",Anupam Kher
http://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Anuj_-_Live_Performance.jpg/405px-Anuj_-_Live_Performance.jpg,"[{'url': 'http://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Anuj_-_Live_Performance.jpg/405px-Anuj_-_Live_Performance.jpg', 'path': 'full/fb7cf2ac8f3cc5f74c40c3b787b1022b8de0caa1.jpg', 'checksum': '33d3d7334de01c201c02da1060e95f53'}]","Anuj Gurwara is a Filmfare Award-winning playback singer, master of ceremonies, actor, voice artist, radio jockey and television show host from India.",Anuj Gurwara
http://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Malaika_Arora_Khan_and_Arbaaz_Khan.jpg/170px-Malaika_Arora_Khan_and_Arbaaz_Khan.jpg,"[{'url': 'http://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Malaika_Arora_Khan_and_Arbaaz_Khan.jpg/170px-Malaika_Arora_Khan_and_Arbaaz_Khan.jpg', 'path': 'full/e3b5949f6794f9bc7834f112a1e9ab38d349cc99.jpg', 'checksum': '49bc40ae043689efce3bc832e2124c8b'}]","Arbaaz Khan  (born 4 August 1967) is an Indian actor, director and film producer, who predominantly works in Hindi language films. He has also acted in a few Urdu, Telugu and Malayalam language films as well as television series. Since making his debut in 1996, he has acted in many leading and supporting roles. He ventured into film production in Bollywood, with Arbaaz Khan Productions, launched with Dabangg (2010), in which he starred as the younger brother of his real-life brother Salman Khan. The film went on to become one of the highest-grossing Bollywood films of all time. He also won the National Film Award for Best Popular Film Providing Wholesome Entertainment for the same. He also hosted the reality show Power Couple, which aired on Sony TV. In 2019, Khan made his digital debut with crime-thriller web series Poison.",Arbaaz Khan
http://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Zeshan_Qadri.jpg/220px-Zeshan_Qadri.jpg,"[{'url': 'http://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Zeshan_Qadri.jpg/220px-Zeshan_Qadri.jpg', 'path': 'full/b84ad4e48c6b3534edd878a0fac5aca2c6b5731a.jpg', 'checksum': '5ce79a9f899e47dcba7a09fe4c9ce72f'}]","Zeishan Quadri is an Indian writer, actor, director and producer who has written the story and co-written the screenplay for the Bollywood crime genre film Gangs of Wasseypur, directed by Anurag Kashyap. Quadri has also acted in Gangs of Wasseypur - Part 2. He has directed and produced the film Meeruthiya Gangsters.",Zeishan Quadri
